tweet_id,favorites,retweets,user_followers,user_favourites,date_time
750071704093859840,8271,3584,7690795,140762,2016-07-04 21:00:04
750056684286914561,3302,959,7690795,140762,2016-07-04 20:00:23
750041628174217216,3340,664,7690794,140762,2016-07-04 19:00:33
750026558547456000,2851,843,7690794,140762,2016-07-04 18:00:41
750011400160841729,3411,974,7690794,140762,2016-07-04 17:00:26
749996283729883136,3196,868,7690794,140762,2016-07-04 16:00:22
749981277374128128,5367,2625,7690794,140762,2016-07-04 15:00:45
749774190421639168,4889,1406,7690794,140762,2016-07-04 01:17:51
749417653287129088,6404,1782,7690794,140762,2016-07-03 01:41:06
749403093750648834,2758,583,7690794,140762,2016-07-03 00:43:15
749395845976588288,9047,3714,7690794,140762,2016-07-03 00:14:27
749317047558017024,5759,2371,7690794,140762,2016-07-02 19:01:20
749075273010798592,6049,2220,7690794,140762,2016-07-02 03:00:36
749064354620928000,5030,1623,7690794,140762,2016-07-02 02:17:13
749036806121881602,3259,838,7690794,140762,2016-07-02 00:27:45
748977405889503236,11261,3639,7690794,140762,2016-07-01 20:31:43
748932637671223296,6137,2419,7690794,140762,2016-07-01 17:33:49
748705597323898880,2903,1015,7690794,140762,2016-07-01 02:31:39
748699167502000129,4967,1710,7690794,140762,2016-07-01 02:06:06
748692773788876800,4448,1422,7690794,140762,2016-07-01 01:40:41
748575535303884801,6366,2124,7690794,140762,2016-06-30 17:54:50
748568946752774144,2290,718,7690794,140762,2016-06-30 17:28:39
748346686624440324,5495,1329,7690794,140762,2016-06-30 02:45:28
748337862848962560,8074,4406,7690794,140762,2016-06-30 02:10:24
748324050481647620,3883,819,7690794,140762,2016-06-30 01:15:31
748307329658011649,3846,761,7690794,140762,2016-06-30 00:09:04
748220828303695873,14849,8344,7690794,140762,2016-06-29 18:25:21
747963614829678593,6063,2293,7690794,140762,2016-06-29 01:23:16
747933425676525569,6948,2724,7690794,140762,2016-06-28 23:23:19
747885874273214464,3095,1051,7690794,140762,2016-06-28 20:14:22
747844099428986880,2949,803,7690794,140762,2016-06-28 17:28:22
747816857231626240,5081,1243,7690794,140762,2016-06-28 15:40:07
747651430853525504,1447,166,7690794,140762,2016-06-28 04:42:46
747648653817413632,13525,6248,7690794,140762,2016-06-28 04:31:44
747600769478692864,2431,588,7690794,140762,2016-06-28 01:21:27
747594051852075008,3874,1122,7690794,140762,2016-06-28 00:54:46
747512671126323200,5817,1694,7690794,140762,2016-06-27 19:31:23
747461612269887489,4046,1099,7690794,140762,2016-06-27 16:08:30
747439450712596480,5690,2060,7690794,140762,2016-06-27 14:40:26
747242308580548608,0,3076,7690794,140762,2016-06-27 01:37:04
747219827526344708,5534,1690,7690794,140762,2016-06-27 00:07:44
747204161125646336,3537,983,7691364,140762,2016-06-26 23:05:29
747103485104099331,10041,4258,7690794,140762,2016-06-26 16:25:26
746906459439529985,3021,315,7690794,140762,2016-06-26 03:22:31
746872823977771008,6285,2296,7690794,140762,2016-06-26 01:08:52
746818907684614144,5562,1845,7690794,140762,2016-06-25 21:34:37
746790600704425984,5113,1697,7690794,140762,2016-06-25 19:42:08
746757706116112384,10028,4169,7690794,140762,2016-06-25 17:31:25
746726898085036033,6326,1913,7690794,140762,2016-06-25 15:29:00
746542875601690625,5279,1994,7690794,140762,2016-06-25 03:17:46
746521445350707200,0,1049,7690794,140762,2016-06-25 01:52:36
746507379341139972,4858,1155,7690794,140762,2016-06-25 00:56:43
